北京汉克时代科技有限公司,汉克时代,2000人以上,未融资,海淀区,java开发工程师,3-5年,本科,14k-17k,五险一金、六日双休
北京怡合春天科技有限公司,本木医疗,50-150人,不需要融资,朝阳区,高级Java开发工程师,5-10年,本科,28k-40k,"薪资高,福利多"
北京如秄管理咨询有限公司,北京如秄,50-150人,不需要融资,朝阳区,Java高级开发工程师 (T5),3-5年,本科,30k-50k,新开放紧急职位，需要人选尽快到岗
互动峰科技（北京）有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,java开发工程师(J10735),5-10年,本科,60k-100k,高素质团队；公司快速发展；福利待遇优渥
河南景顺智能科技有限公司,景顺科技,50-150人,不需要融资,海淀区,中高级java开发工程师 远程面试,3-5年,本科,15k-22k,国企项目长期稳定
北京亿美软通科技有限公司,亿美软通,150-500人,上市公司,朝阳区,初级java工程师,1年以下,本科,10k-15k,五险一金，补充医疗保险，饭补，绩效奖金
北京汉正天成科技有限公司,汉正天成,150-500人,不需要融资,西城区,java开发工程师,3-5年,大专,15k-20k,项目长期稳定、工作环境好
北京金山办公软件股份有限公司,金山办公软件,2000人以上,上市公司,海淀区,高级Java开发工程师,3-5年,本科,18k-35k,团队nice 技术氛围好
中科视语（北京）科技有限公司,中科视语,50-150人,A轮,海淀区,java开发工程师,1-3年,本科,12k-18k,人工智能科学家创始团队
虎曼（北京）科技有限公司,虎曼科技,500-2000人,C轮,朝阳区,java开发工程师,不限,本科,15k-22k,高薪 双休 五险一金
北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,java开发工程师,不限,本科,30k-60k,六险一金、每月1天带薪病假、7-15天年假
虎曼（北京）科技有限公司,虎曼科技,500-2000人,C轮,东城区,java开发工程师,3-5年,大专,13k-22k,双休 高薪
北京芯火科技有限公司,芯火科技,15-50人,不需要融资,朝阳区,java开发工程师,5-10年,大专,20k-30k,java
北京芯火科技有限公司,芯火科技,15-50人,不需要融资,朝阳区,java高级开发工程师,5-10年,本科,25k-35k,大牛带队
北京力码科技有限公司,力码科技,150-500人,B轮,朝阳区,Java开发工程师,3-5年,本科,20k-30k,朝阳行业、扁平化管理、福利优越、发展空间大
北京粉雪科技有限公司,粉雪科技,15-50人,天使轮,朝阳区,java高级开发工程师,3-5年,本科,25k-40k,与滑雪大神一起工作
北京向上一心科技有限公司,老虎集团,500-2000人,上市公司,朝阳区,高级java开发工程师,3-5年,本科,25k-50k,纳斯达克上市 六险一金 加班少 双休
北京瑞友科技股份有限公司,北京瑞友,2000人以上,上市公司,海淀区,java开发,5-10年,大专,13k-19k,。
北京融亿科达数据科技有限公司,融亿科达,150-500人,不需要融资,海淀区,Java开发工程师,3-5年,本科,20k-25k,大拿带队，前景美好
